BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,CarryDistanceM
64.4,10.7,-1.1,2930,4.1,211.2
64.2,7.5,-1.2,1660,-20.2,170.6
63.4,10.1,-1.8,3192,-37.9,180.7
53.1,9.9,0.7,4553,19.6,140.5
52.9,22.7,-7,7090,-24,145.2
11.9,29.9,-2.5,3455,1.2,12.5
33.4,33.6,5.1,4700,3.2,81.3
71.2,14.7,-0.1,2440,-1.2,244.8
72,11.2,-0.8,3440,-1.8,236.3
55.7,15.9,8.4,3320,1.8,178.4
55.8,8.3,-3,2810,-5,158.1
51.8,6.3,0.1,2640,-35.2,104.9
65.6,12.7,1.1,2630,-1.8,222.2
61.8,14.3,1.5,4922,13.3,187.6
64.5,8.3,-3.5,2260,-31.2,178.7
56.4,0.8,-1.3,3818,5.1,118.4
64.6,12.9,-2.2,3370,10.3,210.9
57.7,16.2,2.7,3650,4.2,184.3
61.4,16.1,14.4,3130,19,201.2
58.4,16.5,6.9,5380,22.2,171.2
64.6,12.7,0.7,2500,-7.1,216.7
69.9,14.4,-7.8,3000,-27.6,231.1
59.5,11,1,2152,1.3,183.4
66.7,12,2.1,3419,-0.3,220.6
63,14.9,5.2,3080,13.8,209.4
50,25,5.1,5491,10.6,141.4
75.2,7.7,1.5,1660,-29.9,219.6
73.5,17,3.9,3120,-5,241.9
39.7,24.1,-5.1,5840,6.9,103.2
66.2,11.4,-0.5,2230,-9.1,219.1
58,9.7,0.7,2845,-1.5,170.3
54.6,8.5,4.6,1980,-14.5,138.8
55.5,17.1,1.7,3700,12.9,174.7
66.3,11.4,4.6,2940,11.7,219.9
58.2,10.5,-2.6,4568,16.1,166.9
73.4,11.3,1,3390,1.2,244.6
62.5,6.9,0,2940,30.5,168.9
43.8,16.9,3,5490,-5.3,118.6
63,11.3,-0.6,2973,-12.3,203.6
69.6,16.5,2.7,2130,11,247.7
68.1,10.7,0.4,5347,3,205.3
53.5,13.3,-3.6,3880,-24.6,156.3
64.7,11,5.1,2310,-37.4,188.1
70.2,5.3,2.2,1420,-15.2,180.5
58.2,20.2,-4,6890,15.8,158.3
60.8,8.4,1.5,2420,-9.5,179.1
58.2,11.1,2.4,1800,9.2,170.8
70.6,16,1.5,2810,6.4,245.5
29.7,47.6,-6.9,6250,-10.6,60.3
30.3,22.6,13.7,7120,18.4,66.5
76,13.3,2.4,4020,5.5,240.3
53.4,12.4,0.3,2781,-1.6,155
74.2,14.2,0.8,3210,-8.5,252.6
53.9,19.7,1.9,7050,1.1,149.8
56.7,12.3,-4.6,3130,-6,178
60.3,20.2,9.1,6855,28.7,162.6
62.8,15.7,1.2,3490,-5.8,206.8
43.5,19,3.9,3520,3.8,124.8
67.6,11,3.3,2200,-2,225.6
69.9,8.8,-5.4,2660,-9.6,229.3
58.3,1.6,-1.4,700,-29.8,37.5
58.7,9.4,3.2,2890,-1.9,177.3
76.2,12.6,0.2,3887,-1.8,248.5
59.6,15.7,-4.6,3490,1.5,193.7
47.4,5.9,5.4,4006,32.8,84.4
64.4,10.9,2.1,4803,22.5,193.3
64.9,10.4,-3,2940,8.3,212
59,0.9,1.2,1380,-28.6,30.4
53.3,21.1,0.5,7580,-1.3,145.8
20.5,31.8,9.9,7639,45.5,35.6
65.6,11.8,0.7,2656,-11.5,218.1
52.1,13.3,8.8,5409,23.2,146.2
65,12.3,1.6,2560,-17.6,214.1
69.1,11.2,2.7,3832,7.7,224.3
60,8.9,0.1,2380,-23.7,168.1
63.8,6.3,2.9,2880,14.3,186.7
70.3,15.2,0.1,2840,-5.2,236
38.7,24.9,0.7,4870,8.3,103.7
59.3,8.2,-1.9,3428,-10.3,178.2
64.3,15,2.2,2750,-15.2,217.2
44.3,21.2,0.4,4943,5.4,124.7
55.5,10,-0.4,3420,-4.2,159.7
63.4,13.1,-1.2,3970,2.9,199.6
76.1,11.4,-0.1,2580,0.5,266.2
75.8,16.3,0.5,3820,-5.7,243
