BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,MaxHeightDistanceM
64.4,10.7,-1.1,2930,4.1,138.5
64.2,7.5,-1.2,1660,-20.2,101.6
63.4,10.1,-1.8,3192,-37.9,114.3
53.1,9.9,0.7,4553,19.6,87.9
52.9,22.7,-7,7090,-24,96.3
11.9,29.9,-2.5,3455,1.2,6.7
33.4,33.6,5.1,4700,3.2,50.8
71.2,14.7,-0.1,2440,-1.2,163.5
72,11.2,-0.8,3440,-1.8,163.6
55.7,15.9,8.4,3320,1.8,115.3
55.8,8.3,-3,2810,-5,98.2
51.8,6.3,0.1,2640,-35.2,60.8
65.6,12.7,1.1,2630,-1.8,144.3
61.8,14.3,1.5,4922,13.3,127.8
64.5,8.3,-3.5,2260,-31.2,108.9
56.4,0.8,-1.3,3818,5.1,80.7
64.6,12.9,-2.2,3370,10.3,141.3
57.7,16.2,2.7,3650,4.2,121.5
61.4,16.1,14.4,3130,19,131
58.4,16.5,6.9,5380,22.2,114.5
64.6,12.7,0.7,2500,-7.1,139
69.9,14.4,-7.8,3000,-27.6,152.6
59.5,11,1,2152,1.3,112.4
66.7,12,2.1,3419,-0.3,149.2
63,14.9,5.2,3080,13.8,137.6
50,25,5.1,5491,10.6,94.2
75.2,7.7,1.5,1660,-29.9,135.8
73.5,17,3.9,3120,-5,169.1
39.7,24.1,-5.1,5840,6.9,64.6
66.2,11.4,-0.5,2230,-9.1,139
58,9.7,0.7,2845,-1.5,106.9
54.6,8.5,4.6,1980,-14.5,81.9
55.5,17.1,1.7,3700,12.9,113.7
66.3,11.4,4.6,2940,11.7,145
58.2,10.5,-2.6,4568,16.1,107.9
73.4,11.3,1,3390,1.2,169.6
62.5,6.9,0,2940,30.5,106.1
43.8,16.9,3,5490,-5.3,74.2
63,11.3,-0.6,2973,-12.3,132.6
69.6,16.5,2.7,2130,11,160
68.1,10.7,0.4,5347,3,144.3
53.5,13.3,-3.6,3880,-24.6,99.3
64.7,11,5.1,2310,-37.4,114.9
70.2,5.3,2.2,1420,-15.2,110.6
58.2,20.2,-4,6890,15.8,110.1
60.8,8.4,1.5,2420,-9.5,111.4
58.2,11.1,2.4,1800,9.2,101.7
70.6,16,1.5,2810,6.4,165.2
29.7,47.6,-6.9,6250,-10.6,41.3
30.3,22.6,13.7,7120,18.4,38.2
76,13.3,2.4,4020,5.5,171.3
53.4,12.4,0.3,2781,-1.6,95.6
74.2,14.2,0.8,3210,-8.5,174.2
53.9,19.7,1.9,7050,1.1,101.2
56.7,12.3,-4.6,3130,-6,114
60.3,20.2,9.1,6855,28.7,111.7
62.8,15.7,1.2,3490,-5.8,138.5
43.5,19,3.9,3520,3.8,76.4
67.6,11,3.3,2200,-2,143.9
69.9,8.8,-5.4,2660,-9.6,151
58.3,1.6,-1.4,700,-29.8,19.4
58.7,9.4,3.2,2890,-1.9,114.4
76.2,12.6,0.2,3887,-1.8,176.3
59.6,15.7,-4.6,3490,1.5,128
47.4,5.9,5.4,4006,32.8,49
64.4,10.9,2.1,4803,22.5,131.4
64.9,10.4,-3,2940,8.3,139.1
59,0.9,1.2,1380,-28.6,16.1
53.3,21.1,0.5,7580,-1.3,98.8
20.5,31.8,9.9,7639,45.5,20.8
65.6,11.8,0.7,2656,-11.5,141.4
52.1,13.3,8.8,5409,23.2,91.8
65,12.3,1.6,2560,-17.6,136.9
69.1,11.2,2.7,3832,7.7,154.7
60,8.9,0.1,2380,-23.7,102.5
63.8,6.3,2.9,2880,14.3,120.9
70.3,15.2,0.1,2840,-5.2,160.4
38.7,24.9,0.7,4870,8.3,63.7
59.3,8.2,-1.9,3428,-10.3,116.3
64.3,15,2.2,2750,-15.2,141
44.3,21.2,0.4,4943,5.4,78.8
55.5,10,-0.4,3420,-4.2,101.1
63.4,13.1,-1.2,3970,2.9,136.1
76.1,11.4,-0.1,2580,0.5,179.1
75.8,16.3,0.5,3820,-5.7,173.4
53,17.8,-0.4,6560,2.6,98
39.7,16,0.6,7777,-11.5,59.2
60,7.9,-0.4,2110,2.6,103.6
68.4,8.5,-2.8,1940,-52.8,93.6
70.4,11.7,3.9,3130,-4.6,158.2
63.1,15.4,1.9,2495,-3.9,137.4
58.6,12.4,2.9,1940,1,110.7
64.4,20.2,-1.1,2840,5.9,146.2
61.7,13.9,2,4388,-1.4,130.9
42.1,30.3,-15.4,8870,-20.3,69.6
11,30.1,-0.7,3267,0.2,5.8
58.2,17.3,-5.9,2861,0.3,125.1
46.2,14.8,-7.5,4660,-10.9,80.2
63.2,10,-4.7,3176,-1.9,127.6
61.7,14.3,-5.7,3680,4.6,132.7
63.9,12.3,-2.7,2430,-0.1,135.8
64.5,0.3,2,1240,-20.3,11.4
54.1,16.9,1,5593,18.2,103
58.2,13.8,-5.7,3910,-1.4,121.4
52.8,23.2,-4.3,5230,-4.5,102.2
57,11.5,-4.6,4443,12.4,105.2
37.7,5.5,-3.2,1880,-43.4,19.4
14.6,15,-1.8,1990,-14.7,6
52.7,8,-8,1620,-44.2,54
56.4,17.9,0.8,7265,2,107.1
57.9,22.8,-2.3,6270,-7.7,113.1
39.8,17.8,0,4030,6.1,63.2
65.6,11.8,1.6,4555,-0.8,141.5
40.7,12.3,1.6,1860,-7.6,49.6
56.7,3.3,-9.1,2780,-65.8,27.8
53.7,19.9,3,4460,9.3,107.3
51,33.7,-1.9,8830,-7.4,90.2
61.6,13.4,8.6,3018,20.2,128
51.3,7.1,-6.7,4777,17.6,76.9
50.4,11.8,-0.2,2850,-23.6,83.1
37.7,15.8,21.1,4540,39,47.6
29.2,18.7,-3.5,3670,-11,33.1
57.4,11.5,1.5,4842,31.4,104.9
58.8,11.8,8.6,2930,1.1,120
60.6,18.7,0.7,2900,-11.2,133
50.4,16.2,-0.1,4435,-21.3,93
33.9,10.6,-2.4,2740,-26.9,31.1
64.6,8.8,-7.5,2160,-25.2,114.5
53.2,10.5,-5.1,3840,-3.1,100.4
54.8,15.6,-1.1,4437,-12.8,108.6
39.6,31.3,-1.4,6709,1.2,65.9
57.6,11.5,4.8,4040,13.1,115.6
57,20.9,2.3,5110,14.5,110.9
59.2,5.7,-1.7,2190,-46.5,61.3
74.2,13.9,-1.5,3240,-4.2,174.5
63.8,6,0.6,1750,-1.5,97.9
55.6,17.1,-3,3760,6.3,114.8
51.1,18.3,1.5,2459,12.1,98.9
64.2,12.7,-0.9,3570,-9.1,140.1
70.9,14.1,2.8,3080,4.3,164.8
74.6,12,-0.5,2790,6.6,171.8
30.4,19.3,0,10470,20.8,46.1
57.3,16.9,-3,2960,-8.6,120
52.5,11,-2.9,2720,-14.3,91.2
42.8,16.1,3.1,3542,25.2,62.8
57.1,1.5,4.4,4447,27.7,71.6
53.4,18.3,4.3,4480,18.5,104.1
56.2,10.7,3.6,2242,-1.8,100.4
68.1,9.9,2.7,2330,-33.2,127.4
73.9,10.1,-2.2,3540,-1.1,168.7
71.4,12.3,0.9,2648,1.4,163.3
62.1,14.6,-6.1,2806,11.8,134.3
59.8,5.2,3.9,2110,64.8,44
57.8,8.8,-8.2,2500,-49.2,74.5
54.7,19.8,0.8,2523,-2,114.6
57.6,18.1,0.1,7514,14.6,109
64.8,15.8,0.6,4020,-13.5,140.8
63.2,10.2,-3.9,4459,16.6,127
70.8,14.8,-0.3,2402,-0.6,163.6
65.2,13.1,9.1,2510,-9,140.6
58.9,11.3,0.4,2455,4.7,114.7
54.9,9.9,-6.4,2300,-24.8,86.8
62.3,13.6,-2,5620,-1.7,126.7
67.2,12.4,-0.4,2090,-4.9,144.3
71.7,11.2,0.1,3270,13.3,162.9
57.8,18.4,12.7,4540,7.8,118.9
51.9,11.6,-0.3,5288,27.3,83.6
67.2,15.1,0,3472,-6.1,152.2
69.2,16.1,-2.6,4265,-11,152.7
60.9,14.1,2.8,4321,12.4,127.4
50.7,7.4,-5.6,3020,-29.4,68.3
58.1,12.1,-7.1,3440,-7.9,119.2
38.6,19.4,4.7,4980,0.3,60.5
54,10.6,-0.4,5261,12,101.1
67,10.6,-1,4290,1.4,146.6
55.4,14.7,2.2,2640,-3.1,110.7
61.8,14,-0.2,4491,12.8,129.6
40.1,35,-11.2,7840,-10.9,66
54.5,13.3,1.4,3986,1.9,108.3
55.6,2.6,-10.6,2490,-13.3,61.1
56.7,9.5,-6.6,2120,-6.7,95.7
61.8,17.2,-7.1,4480,-4.7,130.4
72,13.6,-0.2,2360,-9.9,163.2
17.8,24.8,6.1,4260,6.7,13.5
66.3,8.2,-3.8,1390,-23.1,106.3
74.5,13.9,-0.1,3790,-12.9,167.8
54,15.8,2.1,2223,-0.5,104.8
58.4,16.7,-0.8,3615,16.4,122.1
55.4,11.4,-7.3,4240,-13.9,107.5
60.5,8.5,-3.5,2010,-12.1,102.4
60,6.9,-7.1,4697,13.4,109.4
57.8,10,-3.3,3120,-15.2,111
50.3,7.5,-1,3871,2.3,83.6
76.3,10.2,0.6,4260,-12.1,169.5
32.1,24.3,-1.2,4870,2.2,45.1
38.8,31.7,0.5,4139,-10.4,66.2
72,15.3,-1.6,3750,-11.9,161.2
72.2,17.6,3.2,3574,-4.6,165.3
56.6,5,-1,2240,14.3,72.9
36,14.9,18.1,7281,30.6,44
47.8,20.3,-0.9,6380,-0.5,86.3
73.6,10.7,3.4,4102,0.9,166.7
63.7,6.8,-1.7,1870,-32,90.3
47,11.7,6.1,3147,27.4,73.6
57.5,20.3,2.5,6731,3.9,110.7
39.1,21.9,-1.1,4780,12.2,63.1
65.8,12.5,0.4,2322,-10.1,140.6
13.4,27.1,-1.8,2850,-3.3,8
59.5,7.7,-2.5,1950,-18.5,91.3
64,13.7,-3.3,3230,7.2,141.1
31.7,12.5,9.1,3400,21.8,30.6
65.7,12.8,1,4251,7.5,141.2
56.6,16.7,4.3,4373,14.7,114.5
56.7,18.1,-2.3,3290,-9.7,119.5
40.1,0.6,-1.1,1400,-87.3,2
59.1,6.5,-4.7,2129,-9.1,90.5
57.7,11.1,2.6,2420,15.2,107.2
66.3,11.5,5.2,2590,7.9,143.5
50.5,10.7,-2,4052,7.1,86.1
63.8,11,-3.7,3888,3.2,138
54.2,15.3,10.9,6674,19.8,100
8.4,50.6,-1.4,1290,10.3,4.2
60.8,15.1,2.4,4160,8.7,128.9
63.1,8.4,-2.9,1550,-31.1,94
67.4,13.9,3.1,2177,-10.6,148.1
60.6,18.4,9.3,4020,8.8,129.6
48.8,11.7,-0.1,3725,5.4,82.6
77.5,11,1.4,2349,0.3,181.5
48.1,23.8,-5.7,6690,-13.7,86.7
59,9.7,-3.2,2590,-9.2,111.4
57.1,5.3,10.6,3170,17.6,94.8
65.4,11.9,-0.2,4038,7,140.9
36.7,19.1,-1.7,3980,-1.6,55
61.1,19.3,3,3552,-2,133.8
43.4,8.3,19,7512,53.6,41.1
56.6,12.7,-1.5,3750,-2.5,114
33.6,18.9,26,6080,32.2,41.7
62.9,16.5,-2.7,2799,2.5,139.3
35,17.8,-4.1,4310,2.8,48.5
39.8,22.9,-19,7590,-27,61.6
60.7,15,2.6,3640,-10.7,129.9
67.6,17.1,2.3,3060,-1.6,156.1
61,11.1,-5,2686,4,124.9
68.2,15.8,-3.4,4020,-0.6,152.4
45.4,16.6,2.6,2700,3.2,79
55.6,15.1,7.4,3790,19.7,110.3
49.4,17.3,8.9,4624,5.5,93.3
62.5,12.6,-0.2,2740,-20.7,128.4
57.1,15.2,-0.4,4145,2.1,118
63.8,15.8,4.5,3500,-4.9,141.4
73.6,12.4,-0.2,2474,7.3,169.3
13.4,10.8,20.7,1370,51.1,3.6
54.9,14.7,-0.9,6180,-4.8,104.8
58,17.2,4.7,7319,21.5,108.7
55.1,11.9,6.3,2660,18.1,100.6
59.3,14.8,0.4,4320,5,122.6
65.5,10.8,-1.4,2650,12.1,138.5
57.7,19.3,2.6,5020,-2.2,117.3
59,4.4,1,2200,-55.3,44.2
54.4,15.5,-1.7,3250,-2.4,110.2
56.1,3.3,3.2,1490,-2.5,44.6
66.3,9.7,-0.4,1900,-19.7,124.2
56.6,12.9,-4.4,3282,-5.1,115.1
61.7,16.6,-1.9,4513,7.9,130.3
74,10.3,0.3,3293,3.3,172
43.2,31.9,-0.1,8620,-4.1,73.4
60.8,13.4,-1.3,5740,1.6,122.4
67.4,13.9,2,2957,-2.2,153.5
62.2,15.3,5.4,3720,4.4,132.7
66.3,12.4,3.1,3328,13.6,146.2
70.9,12.2,3.2,3910,3.5,159.5
62.7,14.2,-3.5,3370,-16.7,134.7
69,11.4,-3.8,2070,-14.1,144.9
61,9.4,-0.3,2680,-1.7,120.3
34.1,21.8,-1,5658,10.1,48.6
60.4,13.3,-3.5,3070,-5.1,128.3
59.3,10.6,2.4,3500,0.8,121.1
73.5,16.3,-1.5,3080,-14.4,170.8
43.4,24.4,3.4,5250,1.7,76.9
63.2,15.5,-0.1,3810,-8.5,134.7
35.8,13.9,0.3,6380,12.8,45.6
55.6,15,-4.6,2240,-18.8,106.1
66.3,13.2,0.2,2530,-2.4,147.3
65.8,12.3,3.4,2620,8.3,143.6
58.5,7.9,0.1,2250,-14.8,95.7
65.8,8.4,0.3,2010,-21.9,117.1
70.2,6.6,-7.6,2540,-7.9,144.2
71.9,11,-0.5,3220,0.5,164.3
64.5,12.6,-1.6,2750,-22.7,134.4
45.9,29.5,-13.1,8500,-17,79.1
46.6,17.5,5.7,3710,7.1,85.4
39.5,37.9,-14.7,7930,-12.1,64.1
32.9,23.5,0.7,4910,7.7,46.6
56,19.9,-0.4,4940,6.2,112.6
49.5,24.7,3.8,6528,15.1,90
54,19.7,-1.7,3790,-3.6,110.8
56.7,5.7,0.5,2320,-6.8,84.6
63.1,13.1,2.4,2790,-17,133.2
67.2,10.2,3.4,4902,4.1,143.9
10.5,21.1,31.8,2070,41.4,4
11.6,30.8,-1.1,3331,1.1,6.4
54.9,5.9,-4.5,2490,-25.2,70.9
40.6,14.3,-4.8,2810,2.9,59.6
32.5,14.7,-4.2,11629,4,14.5
58.6,7.9,-2.1,2350,-4.2,100.3
67.4,14.4,-1.1,3060,-6.3,152.8
65.5,10.4,-1.2,2600,-6.8,138.8
66.6,9.9,3,3327,5.3,146.5
