BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
64.4,10.7,-1.1,2930,4.1,232.2
64.2,7.5,-1.2,1660,-20.2,207.5
63.4,10.1,-1.8,3192,-37.9,199.4
53.1,9.9,0.7,4553,19.6,164.4
52.9,22.7,-7,7090,-24,149.6
11.9,29.9,-2.5,3455,1.2,17.9
33.4,33.6,5.1,4700,3.2,87.7
71.2,14.7,-0.1,2440,-1.2,261.8
72,11.2,-0.8,3440,-1.8,250.2
55.7,15.9,8.4,3320,1.8,193.8
55.8,8.3,-3,2810,-5,191.8
51.8,6.3,0.1,2640,-35.2,149.9
65.6,12.7,1.1,2630,-1.8,244.9
61.8,14.3,1.5,4922,13.3,196.6
64.5,8.3,-3.5,2260,-31.2,217.4
56.4,0.8,-1.3,3818,5.1,162
64.6,12.9,-2.2,3370,10.3,227.2
57.7,16.2,2.7,3650,4.2,197.4
61.4,16.1,14.4,3130,19,218.4
58.4,16.5,6.9,5380,22.2,180.4
64.6,12.7,0.7,2500,-7.1,241.7
69.9,14.4,-7.8,3000,-27.6,248.4
59.5,11,1,2152,1.3,217.4
66.7,12,2.1,3419,-0.3,229.5
63,14.9,5.2,3080,13.8,225.7
50,25,5.1,5491,10.6,147
75.2,7.7,1.5,1660,-29.9,254
73.5,17,3.9,3120,-5,251.1
39.7,24.1,-5.1,5840,6.9,110.7
66.2,11.4,-0.5,2230,-9.1,249.2
58,9.7,0.7,2845,-1.5,201.5
54.6,8.5,4.6,1980,-14.5,180.6
55.5,17.1,1.7,3700,12.9,189.1
66.3,11.4,4.6,2940,11.7,232.9
58.2,10.5,-2.6,4568,16.1,188.2
73.4,11.3,1,3390,1.2,258.6
62.5,6.9,0,2940,30.5,195.1
43.8,16.9,3,5490,-5.3,130.8
63,11.3,-0.6,2973,-12.3,226.5
69.6,16.5,2.7,2130,11,266.9
68.1,10.7,0.4,5347,3,213.7
53.5,13.3,-3.6,3880,-24.6,175.6
64.7,11,5.1,2310,-37.4,224.3
70.2,5.3,2.2,1420,-15.2,234.1
58.2,20.2,-4,6890,15.8,161
60.8,8.4,1.5,2420,-9.5,215.1
58.2,11.1,2.4,1800,9.2,207.5
70.6,16,1.5,2810,6.4,259.3
29.7,47.6,-6.9,6250,-10.6,60.9
30.3,22.6,13.7,7120,18.4,71.8
76,13.3,2.4,4020,5.5,247.9
53.4,12.4,0.3,2781,-1.6,181.6
74.2,14.2,0.8,3210,-8.5,265.4
53.9,19.7,1.9,7050,1.1,153.7
56.7,12.3,-4.6,3130,-6,200.1
60.3,20.2,9.1,6855,28.7,166.6
62.8,15.7,1.2,3490,-5.8,220.3
43.5,19,3.9,3520,3.8,141.8
67.6,11,3.3,2200,-2,255.5
69.9,8.8,-5.4,2660,-9.6,254.5
58.3,1.6,-1.4,700,-29.8,106.9
58.7,9.4,3.2,2890,-1.9,202.4
76.2,12.6,0.2,3887,-1.8,257.8
59.6,15.7,-4.6,3490,1.5,208.5
47.4,5.9,5.4,4006,32.8,122.6
64.4,10.9,2.1,4803,22.5,206.2
64.9,10.4,-3,2940,8.3,235
59,0.9,1.2,1380,-28.6,87.2
53.3,21.1,0.5,7580,-1.3,148.4
20.5,31.8,9.9,7639,45.5,38.5
65.6,11.8,0.7,2656,-11.5,240.8
52.1,13.3,8.8,5409,23.2,161.9
65,12.3,1.6,2560,-17.6,240
69.1,11.2,2.7,3832,7.7,237.1
60,8.9,0.1,2380,-23.7,206.8
63.8,6.3,2.9,2880,14.3,210.2
70.3,15.2,0.1,2840,-5.2,249.8
38.7,24.9,0.7,4870,8.3,113.7
59.3,8.2,-1.9,3428,-10.3,203.2
64.3,15,2.2,2750,-15.2,236.9
44.3,21.2,0.4,4943,5.4,135.3
55.5,10,-0.4,3420,-4.2,186.4
63.4,13.1,-1.2,3970,2.9,211.9
76.1,11.4,-0.1,2580,0.5,286.5
75.8,16.3,0.5,3820,-5.7,249.2
53,17.8,-0.4,6560,2.6,151.2
39.7,16,0.6,7777,-11.5,108.5
60,7.9,-0.4,2110,2.6,206.5
68.4,8.5,-2.8,1940,-52.8,215.2
70.4,11.7,3.9,3130,-4.6,246.1
63.1,15.4,1.9,2495,-3.9,230.3
58.6,12.4,2.9,1940,1,214.5
64.4,20.2,-1.1,2840,5.9,230.9
61.7,13.9,2,4388,-1.4,203.2
42.1,30.3,-15.4,8870,-20.3,108.8
11,30.1,-0.7,3267,0.2,15.8
58.2,17.3,-5.9,2861,0.3,210.4
46.2,14.8,-7.5,4660,-10.9,144.3
63.2,10,-4.7,3176,-1.9,226.1
61.7,14.3,-5.7,3680,4.6,211.6
63.9,12.3,-2.7,2430,-0.1,239
64.5,0.3,2,1240,-20.3,86.8
54.1,16.9,1,5593,18.2,160.7
58.2,13.8,-5.7,3910,-1.4,197.6
52.8,23.2,-4.3,5230,-4.5,156.1
57,11.5,-4.6,4443,12.4,188
37.7,5.5,-3.2,1880,-43.4,85.2
14.6,15,-1.8,1990,-14.7,24.8
52.7,8,-8,1620,-44.2,141.7
56.4,17.9,0.8,7265,2,160.8
57.9,22.8,-2.3,6270,-7.7,165.1
39.8,17.8,0,4030,6.1,123
65.6,11.8,1.6,4555,-0.8,210.2
40.7,12.3,1.6,1860,-7.6,128.8
56.7,3.3,-9.1,2780,-65.8,120.1
53.7,19.9,3,4460,9.3,172.1
51,33.7,-1.9,8830,-7.4,121.5
61.6,13.4,8.6,3018,20.2,217.9
51.3,7.1,-6.7,4777,17.6,150.8
50.4,11.8,-0.2,2850,-23.6,168.7
37.7,15.8,21.1,4540,39,104.7
29.2,18.7,-3.5,3670,-11,79
57.4,11.5,1.5,4842,31.4,176.5
58.8,11.8,8.6,2930,1.1,210.9
60.6,18.7,0.7,2900,-11.2,212.1
50.4,16.2,-0.1,4435,-21.3,160.9
33.9,10.6,-2.4,2740,-26.9,89.7
64.6,8.8,-7.5,2160,-25.2,227
53.2,10.5,-5.1,3840,-3.1,177.2
54.8,15.6,-1.1,4437,-12.8,178.2
39.6,31.3,-1.4,6709,1.2,105.2
57.6,11.5,4.8,4040,13.1,192.8
57,20.9,2.3,5110,14.5,167.9
59.2,5.7,-1.7,2190,-46.5,168.6
74.2,13.9,-1.5,3240,-4.2,265
63.8,6,0.6,1750,-1.5,215.9
55.6,17.1,-3,3760,6.3,189.1
51.1,18.3,1.5,2459,12.1,182.6
64.2,12.7,-0.9,3570,-9.1,224.4
